source_db_path,target_db_path,output_path,comparison_number,status,match_count,error_message,duration_seconds,peak_memory_mb,early_escape_detected
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 2_عدة_محدثين_الأصول_الستة_عشر_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 2_عدة_محدثين_الأصول_الستة_عشر_copy1.jsonl,65,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 3_مؤلف_مجهول_أخبار_الدولة_العباسية_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 3_مؤلف_مجهول_أخبار_الدولة_العباسية_copy1.jsonl,66,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 4_ابن_شعبة_الحراني_تحف_العقول_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 4_ابن_شعبة_الحراني_تحف_العقول_copy1.jsonl,67,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 4_محمد_بن_جرير_المسترشد_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 4_محمد_بن_جرير_المسترشد_copy1.jsonl,68,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 4_محمد_بن_جرير_دلائل_الامامة_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 4_محمد_بن_جرير_دلائل_الامامة_copy1.jsonl,69,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 4_محمد_بن_جرير_نوادر_المعجزات_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 4_محمد_بن_جرير_نوادر_المعجزات_copy1.jsonl,70,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 5_الحلواني_نزهة_الناظر_وتنبيه_الخاطر_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 5_الحلواني_نزهة_الناظر_وتنبيه_الخاطر_copy1.jsonl,71,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 6_عبد_الوهاب_شرح_كلمات_أمير_المؤمنين_علي_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 6_عبد_الوهاب_شرح_كلمات_أمير_المؤمنين_علي_copy1.jsonl,72,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 6_علي_بن_محمد_عيون_الحكم_والمواعظ_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 6_علي_بن_محمد_عيون_الحكم_والمواعظ_copy1.jsonl,73,pending,,,,,
./ngrams/source/276_ابن_قتيبة_غريب_الحديث_copy1.db,./ngrams/target/ق 6_قطب_الدين_البيهقي_إصباح_الشيعة_بمصباح_الشريعة_copy1.db,./output/matches_276_ابن_قتيبة_غريب_الحديث_copy1_ق 6_قطب_الدين_البيهقي_إصباح_الشيعة_بمصباح_الشريعة_copy1.jsonl,74,pending,,,,,
